,Unnamed: 1,FG%,3P%,2P%,FT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
76,Buddy Hield,0.429,0.394,0.479,1.9,0.9,4.4,5.3,3.5,1.1,0.3,2.7,2.7,22.5,SAC
77,Nemanja Bjelica,0.481,0.419,0.541,1.2,2.0,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9,SAC
78,DeMar DeRozan,0.531,0.257,0.54,5.9,0.7,5.1,5.8,5.9,1.1,0.3,2.5,2.8,23.4,SAS
79,LaMarcus Aldridge,0.493,0.389,0.519,3.2,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5,SAS
80,Dejounte Murray,0.462,0.369,0.481,1.9,1.5,6.7,8.2,5.8,2.4,0.4,2.7,3.1,15.4,SAS
81,Pascal Siakam,0.453,0.359,0.499,4.1,1.1,6.4,7.5,3.5,1.0,0.9,2.5,2.9,23.4,TOR
82,Kyle Lowry,0.416,0.35200000000000004,0.504,5.0,0.5,4.5,5.0,7.4,1.4,0.4,3.1,3.3,19.3,TOR
83,OG Anunoby,0.505,0.39,0.583,1.3,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8,TOR
84,Donovan Mitchell,0.449,0.366,0.494,4.2,0.8,3.8,4.6,4.5,1.1,0.2,2.8,2.6,25.2,UTA
85,Rudy Gobert,0.693,0.0,0.693,3.9,3.5,10.6,14.1,1.6,0.8,2.1,2.0,3.3,15.8,UTA
86,Joe Ingles,0.445,0.399,0.525,1.2,0.5,4.2,4.7,6.3,1.1,0.2,2.4,2.6,11.9,UTA
87,Bradley Beal,0.455,0.353,0.515,6.8,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,WAS
88,Ish Smith,0.447,0.3670000000000001,0.473,1.2,0.6,3.8,4.4,6.7,1.2,0.6,1.9,2.1,14.9,WAS
89,Troy Brown,0.439,0.341,0.479,2.2,1.5,6.2,7.7,3.6,1.7,0.1,1.6,2.7,14.5,WAS
