,Rk,Unnamed: 1,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,3,Jonas Valančiūnas,27,70,70,1845,8.4,14.4,0.585,0.6,1.8,0.35200000000000004,7.8,12.6,0.617,2.9,3.9,0.74,4.2,11.2,15.4,2.6,0.6,1.5,2.5,3.6,20.4
0,1,Bam Adebayo,22,72,72,2417,6.6,11.8,0.557,0.0,0.2,0.14300000000000002,6.5,11.6,0.564,3.9,5.7,0.691,2.6,8.3,10.9,5.5,1.2,1.4,3.0,2.7,17.1
1,2,Duncan Robinson,25,73,68,2166,5.4,11.4,0.47,4.5,10.1,0.446,0.9,1.3,0.654,1.1,1.2,0.9309999999999999,0.2,3.7,3.9,1.7,0.6,0.3,1.2,3.2,16.3
2,3,Kendrick Nunn,24,67,67,1962,7.4,16.8,0.439,2.5,7.2,0.35,4.8,9.6,0.505,1.6,1.8,0.85,0.4,2.9,3.3,4.0,1.0,0.3,2.1,2.8,18.8
0,1,Giannis Antetokounmpo,25,63,63,1917,12.9,23.2,0.5529999999999999,1.7,5.5,0.304,11.2,17.7,0.631,7.5,11.8,0.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9
1,2,Khris Middleton,28,62,59,1853,9.2,18.4,0.49700000000000005,2.9,6.9,0.415,6.3,11.5,0.546,4.0,4.4,0.9159999999999999,0.9,6.6,7.4,5.1,1.0,0.1,2.7,2.8,25.2
2,3,Brook Lopez,31,68,67,1817,5.8,13.3,0.435,2.0,6.4,0.314,3.8,6.9,0.5489999999999999,2.5,3.0,0.836,1.1,5.0,6.2,2.0,0.9,3.2,1.4,3.2,16.1
0,1,Josh Okogie,21,62,28,1547,4.0,9.3,0.42700000000000005,1.0,3.6,0.266,3.0,5.7,0.529,3.5,4.4,0.7959999999999999,2.0,4.2,6.2,2.3,1.6,0.6,2.0,3.2,12.4
1,2,Jarrett Culver,20,63,35,1506,5.5,13.6,0.40399999999999997,1.6,5.3,0.299,3.9,8.3,0.47100000000000003,1.3,2.8,0.462,1.7,3.4,5.1,2.6,1.4,0.9,1.9,3.0,13.9
2,3,Andrew Wiggins,24,42,42,1455,8.7,19.5,0.444,2.3,6.8,0.331,6.4,12.7,0.505,3.7,5.1,0.72,1.2,4.2,5.4,3.8,0.7,0.9,2.6,2.5,23.3
0,1,Jrue Holiday,29,61,61,2117,7.8,17.1,0.455,2.1,5.9,0.353,5.7,11.2,0.509,2.2,3.1,0.7090000000000001,1.3,3.7,5.0,6.9,1.7,0.8,3.1,2.5,19.8
1,2,Brandon Ingram,22,62,62,2104,8.7,18.8,0.46299999999999997,2.6,6.6,0.391,6.1,12.2,0.501,5.4,6.3,0.851,0.9,5.6,6.5,4.4,1.0,0.7,3.2,3.1,25.3
2,3,Lonzo Ball,22,63,54,2025,4.9,12.2,0.40299999999999997,2.6,7.0,0.375,2.3,5.2,0.442,0.8,1.4,0.5660000000000001,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2
0,1,Julius Randle,25,64,64,2080,8.0,17.4,0.46,1.1,4.0,0.27699999999999997,6.9,13.4,0.515,4.5,6.1,0.733,2.6,8.2,10.8,3.4,0.9,0.4,3.3,3.1,21.6
1,2,RJ Barrett,19,56,55,1704,6.2,15.4,0.402,1.3,4.2,0.32,4.8,11.2,0.43200000000000005,3.3,5.4,0.614,1.1,4.8,5.9,3.0,1.2,0.4,2.6,2.6,17.0
2,3,Mitchell Robinson,21,61,7,1412,6.5,8.7,0.742,0.0,0.0,,6.5,8.7,0.742,2.1,3.8,0.568,4.7,6.2,10.9,0.9,1.3,3.0,0.9,4.9,15.0
0,1,Shai Gilgeous-Alexander,21,70,70,2428,7.1,15.0,0.47100000000000003,1.3,3.7,0.34700000000000003,5.8,11.3,0.512,4.3,5.3,0.807,0.7,5.4,6.1,3.4,1.2,0.7,2.0,1.7,19.7
1,2,Chris Paul,34,70,70,2208,7.1,14.5,0.489,1.8,5.0,0.365,5.3,9.5,0.5539999999999999,4.1,4.5,0.907,0.4,5.3,5.7,7.7,1.8,0.2,2.6,2.6,20.1
2,3,Dennis Schröder,26,65,2,1999,8.2,17.4,0.469,2.3,5.9,0.385,5.9,11.5,0.513,3.6,4.3,0.8390000000000001,0.3,3.9,4.3,4.7,0.8,0.3,3.0,2.6,22.1
0,1,Evan Fournier,27,66,66,2076,7.5,16.1,0.467,3.0,7.5,0.39899999999999997,4.5,8.6,0.527,3.1,3.8,0.818,0.3,2.7,3.0,3.6,1.2,0.3,2.2,2.8,21.2
1,2,Aaron Gordon,24,62,62,2017,6.0,13.7,0.43700000000000006,1.3,4.2,0.308,4.7,9.5,0.494,2.7,4.0,0.674,1.9,6.6,8.5,4.1,0.9,0.7,1.8,2.2,16.0
2,3,Nikola Vučević,29,62,62,1998,8.9,18.6,0.47700000000000004,1.8,5.2,0.33899999999999997,7.1,13.4,0.531,2.4,3.0,0.784,2.5,9.6,12.1,4.0,1.0,0.8,1.6,2.4,21.9
0,1,Tobias Harris,27,72,72,2469,8.1,17.1,0.47100000000000003,1.9,5.2,0.36700000000000005,6.2,11.9,0.517,2.5,3.1,0.8059999999999999,1.0,6.2,7.2,3.3,0.8,0.6,1.5,2.4,20.6
1,2,Al Horford,33,67,61,2025,5.7,12.6,0.45,1.8,5.0,0.35,3.9,7.6,0.516,1.1,1.4,0.763,1.8,6.3,8.1,4.8,0.9,1.1,1.4,2.5,14.2
2,3,Ben Simmons,23,57,57,2017,6.7,11.5,0.58,0.0,0.1,0.28600000000000003,6.7,11.4,0.583,3.3,5.3,0.621,2.0,5.9,7.9,8.1,2.1,0.6,3.6,3.3,16.7
0,1,Devin Booker,23,70,70,2512,9.0,18.4,0.489,2.0,5.7,0.354,7.0,12.7,0.5489999999999999,6.7,7.3,0.919,0.4,3.8,4.3,6.5,0.7,0.3,3.8,3.1,26.7
1,2,Mikal Bridges,23,73,32,2042,4.4,8.5,0.51,1.2,3.4,0.361,3.1,5.1,0.61,1.8,2.2,0.8440000000000001,1.2,4.0,5.1,2.3,1.8,0.8,1.3,2.9,11.8
2,3,Ricky Rubio,29,65,65,2016,5.1,12.4,0.415,1.4,3.9,0.361,3.7,8.5,0.439,3.5,4.0,0.863,0.8,4.6,5.4,10.2,1.7,0.2,3.1,3.0,15.1
0,1,CJ McCollum,28,70,70,2556,8.6,19.1,0.451,2.7,7.2,0.379,5.9,11.9,0.494,2.0,2.6,0.757,0.6,3.5,4.2,4.4,0.8,0.6,1.8,2.6,21.9
1,2,Damian Lillard,29,66,66,2474,9.1,19.6,0.46299999999999997,3.9,9.8,0.401,5.2,9.8,0.524,6.7,7.5,0.888,0.5,3.7,4.1,7.7,1.0,0.3,2.8,1.7,28.8
2,3,Hassan Whiteside,30,67,61,2008,7.8,12.6,0.621,0.1,0.1,0.5710000000000001,7.7,12.5,0.622,2.9,4.3,0.6859999999999999,4.6,11.6,16.2,1.4,0.5,3.5,2.2,3.5,18.6
0,1,Harrison Barnes,27,72,72,2482,5.3,11.5,0.46,1.5,3.9,0.381,3.8,7.6,0.501,3.1,3.9,0.8009999999999999,1.1,4.0,5.1,2.3,0.6,0.2,1.3,1.3,15.2
1,2,Buddy Hield,27,72,44,2216,8.1,18.9,0.429,4.4,11.2,0.39399999999999996,3.7,7.7,0.479,1.9,2.2,0.846,0.9,4.4,5.3,3.5,1.1,0.3,2.7,2.7,22.5
2,3,Nemanja Bjelica,31,72,67,2011,5.6,11.7,0.48100000000000004,2.4,5.7,0.419,3.2,6.0,0.541,1.2,1.5,0.821,2.0,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9
0,1,DeMar DeRozan,30,68,68,2316,8.7,16.3,0.531,0.1,0.5,0.257,8.5,15.8,0.54,5.9,7.0,0.845,0.7,5.1,5.8,5.9,1.1,0.3,2.5,2.8,23.4
1,2,LaMarcus Aldridge,34,53,53,1754,8.0,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.8270000000000001,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5
2,3,Dejounte Murray,23,66,58,1687,6.3,13.6,0.462,0.9,2.4,0.369,5.4,11.2,0.48100000000000004,1.9,2.4,0.7979999999999999,1.5,6.7,8.2,5.8,2.4,0.4,2.7,3.1,15.4
0,1,Pascal Siakam,25,60,60,2110,8.5,18.8,0.45299999999999996,2.2,6.2,0.359,6.3,12.6,0.499,4.1,5.2,0.792,1.1,6.4,7.5,3.5,1.0,0.9,2.5,2.9,23.4
1,2,Kyle Lowry,33,58,58,2098,5.7,13.8,0.41600000000000004,2.8,8.0,0.35200000000000004,2.9,5.8,0.504,5.0,5.9,0.857,0.5,4.5,5.0,7.4,1.4,0.4,3.1,3.3,19.3
2,3,OG Anunoby,22,69,68,2066,5.0,9.9,0.505,1.6,4.0,0.39,3.4,5.9,0.583,1.3,1.8,0.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8
0,1,Donovan Mitchell,23,69,69,2364,9.2,20.4,0.449,2.6,7.2,0.366,6.5,13.2,0.494,4.2,4.9,0.863,0.8,3.8,4.6,4.5,1.1,0.2,2.8,2.6,25.2
1,2,Rudy Gobert,27,68,68,2333,6.0,8.6,0.693,0.0,0.0,,6.0,8.6,0.693,3.9,6.2,0.63,3.5,10.6,14.1,1.6,0.8,2.1,2.0,3.3,15.8
2,3,Joe Ingles,32,72,45,2137,4.1,9.3,0.445,2.4,5.9,0.39899999999999997,1.8,3.4,0.525,1.2,1.6,0.787,0.5,4.2,4.7,6.3,1.1,0.2,2.4,2.6,11.9
0,1,Bradley Beal,26,57,57,2053,10.4,22.8,0.455,3.0,8.4,0.353,7.4,14.4,0.515,6.8,8.0,0.8420000000000001,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
1,2,Ish Smith,31,68,23,1787,6.2,13.9,0.447,1.2,3.4,0.36700000000000005,5.0,10.5,0.473,1.2,1.7,0.721,0.6,3.8,4.4,6.7,1.2,0.6,1.9,2.1,14.9
2,3,Troy Brown,20,69,22,1782,5.5,12.6,0.439,1.2,3.6,0.341,4.3,8.9,0.479,2.2,2.8,0.784,1.5,6.2,7.7,3.6,1.7,0.1,1.6,2.7,14.5
