,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
104,8:00p,Indiana Pacers,104,Minnesota Timberwolves,99,Box Score,,"12,648",
105,8:00p,Toronto Raptors,130,Oklahoma City Thunder,121,Box Score,,"18,203",
106,9:00p,Charlotte Hornets,86,Denver Nuggets,100,Box Score,,"19,520",
107,9:30p,Portland Trail Blazers,117,Houston Rockets,107,Box Score,,"18,055",
108,10:00p,Dallas Mavericks,127,Sacramento Kings,123,Box Score,,"17,029",
109,10:30p,Orlando Magic,119,Los Angeles Lakers,118,Box Score,,"18,997",
110,7:30p,Phoenix Suns,121,New York Knicks,98,Box Score,,"18,215",
111,8:00p,Boston Celtics,123,Milwaukee Bucks,128,Box Score,,"17,873",
112,8:00p,Utah Jazz,132,New Orleans Pelicans,138,Box Score,OT,"16,717",
113,10:30p,Denver Nuggets,134,Golden State Warriors,131,Box Score,OT,"18,064",
114,10:30p,Orlando Magic,95,Los Angeles Clippers,122,Box Score,,"19,068",
115,7:00p,Minnesota Timberwolves,114,Indiana Pacers,116,Box Score,,"16,248",
116,7:00p,Chicago Bulls,89,Philadelphia 76ers,100,Box Score,,"20,919",
117,7:00p,Washington Wizards,111,Toronto Raptors,140,Box Score,,"19,800",
118,8:00p,Cleveland Cavaliers,109,Memphis Grizzlies,113,Box Score,,"17,102",
119,8:00p,Miami Heat,115,Oklahoma City Thunder,108,Box Score,,"18,203",
120,8:30p,Atlanta Hawks,121,San Antonio Spurs,120,Box Score,,"18,354",
121,9:30p,Portland Trail Blazers,112,Dallas Mavericks,120,Box Score,,"20,283",
122,3:30p,Los Angeles Clippers,133,New Orleans Pelicans,130,Box Score,,"17,959",
123,6:00p,Milwaukee Bucks,117,Brooklyn Nets,97,Box Score,,"17,732",
124,7:00p,Phoenix Suns,123,Boston Celtics,119,Box Score,,"19,156",
125,7:30p,Detroit Pistons,136,Atlanta Hawks,103,Box Score,,"17,056",
126,7:30p,Philadelphia 76ers,90,New York Knicks,87,Box Score,,"17,812",
127,8:00p,Cleveland Cavaliers,116,Chicago Bulls,118,Box Score,,"19,939",
128,8:00p,Toronto Raptors,122,Minnesota Timberwolves,112,Box Score,,"16,520",
129,8:30p,Orlando Magic,95,Golden State Warriors,109,Box Score,,"18,064",
130,8:30p,Los Angeles Lakers,124,Houston Rockets,115,Box Score,,"18,502",
131,9:00p,Portland Trail Blazers,106,Oklahoma City Thunder,119,Box Score,,"18,203",
132,9:00p,Sacramento Kings,101,Utah Jazz,123,Box Score,,"18,306",
133,3:00p,Miami Heat,102,San Antonio Spurs,107,Box Score,,"18,422",
134,8:00p,Indiana Pacers,115,Denver Nuggets,107,Box Score,,"19,520",
135,2:00p,Detroit Pistons,100,Washington Wizards,106,Box Score,,"17,305",
136,2:30p,Toronto Raptors,122,Atlanta Hawks,117,Box Score,,"17,300",
137,3:00p,Philadelphia 76ers,117,Brooklyn Nets,111,Box Score,,"16,801",
138,5:00p,Orlando Magic,106,Charlotte Hornets,83,Box Score,,"16,133",
139,5:00p,New York Knicks,106,Cleveland Cavaliers,86,Box Score,,"17,133",
140,5:00p,Oklahoma City Thunder,112,Houston Rockets,107,Box Score,,"18,055",
141,5:00p,New Orleans Pelicans,126,Memphis Grizzlies,116,Box Score,,"17,794",
142,5:00p,Sacramento Kings,113,Miami Heat,118,Box Score,OT,"19,600",
143,5:00p,Chicago Bulls,98,Milwaukee Bucks,111,Box Score,,"17,747",
144,7:30p,Los Angeles Lakers,107,Boston Celtics,139,Box Score,,"19,156",
145,8:00p,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,"12,172",
146,9:00p,San Antonio Spurs,120,Phoenix Suns,118,Box Score,,"14,847",
147,9:00p,Indiana Pacers,88,Utah Jazz,118,Box Score,,"18,306",
148,10:00p,Golden State Warriors,124,Portland Trail Blazers,129,Box Score,OT,"19,493",
149,8:30p,Los Angeles Clippers,110,Dallas Mavericks,107,Box Score,,"19,783",
150,7:00p,Sacramento Kings,106,Detroit Pistons,127,Box Score,,"13,972",
151,7:00p,Oklahoma City Thunder,120,Orlando Magic,114,Box Score,,"18,846",
152,7:00p,Philadelphia 76ers,95,Toronto Raptors,107,Box Score,,"19,800",
153,7:30p,Los Angeles Clippers,95,Atlanta Hawks,102,Box Score,,"14,338",
154,7:30p,Memphis Grizzlies,95,Boston Celtics,119,Box Score,,"19,156",
155,7:30p,Washington Wizards,129,Miami Heat,134,Box Score,OT,"19,600",
156,7:30p,Los Angeles Lakers,100,New York Knicks,92,Box Score,,"19,812",
157,8:00p,Minnesota Timberwolves,110,Chicago Bulls,117,Box Score,,"18,875",
158,8:00p,Denver Nuggets,105,Houston Rockets,121,Box Score,,"18,055",
159,9:00p,Indiana Pacers,112,Phoenix Suns,87,Box Score,,"14,691",
160,9:30p,San Antonio Spurs,121,New Orleans Pelicans,117,Box Score,,"18,365",
161,10:00p,Utah Jazz,129,Golden State Warriors,96,Box Score,,"18,064",
162,7:00p,Washington Wizards,124,Cleveland Cavaliers,112,Box Score,,"16,689",
163,8:00p,Los Angeles Lakers,128,Brooklyn Nets,113,Box Score,,"17,732",
164,10:30p,Dallas Mavericks,133,Portland Trail Blazers,125,Box Score,,"19,574",
165,3:00p,Milwaukee Bucks,116,Charlotte Hornets,103,Box Score,,"15,758","at Paris, France"
166,7:00p,Memphis Grizzlies,125,Detroit Pistons,112,Box Score,,"14,583",
167,7:00p,Boston Celtics,109,Orlando Magic,98,Box Score,,"18,846",
168,7:30p,Toronto Raptors,118,New York Knicks,112,Box Score,,"18,883",
169,8:00p,Sacramento Kings,98,Chicago Bulls,81,Box Score,,"17,661",
170,8:00p,Los Angeles Clippers,122,Miami Heat,117,Box Score,,"19,632",
171,8:00p,Houston Rockets,131,Minnesota Timberwolves,124,Box Score,,"16,101",
172,8:00p,Denver Nuggets,113,New Orleans Pelicans,106,Box Score,,"16,398",
173,8:00p,Atlanta Hawks,111,Oklahoma City Thunder,140,Box Score,,"18,203",
174,8:30p,Phoenix Suns,103,San Antonio Spurs,99,Box Score,,"18,354",
175,10:30p,Indiana Pacers,129,Golden State Warriors,118,Box Score,,"18,064",
176,5:00p,Dallas Mavericks,107,Utah Jazz,112,Box Score,,"18,306",
177,7:00p,Brooklyn Nets,121,Detroit Pistons,111,Box Score,OT,"15,890",
178,8:00p,Chicago Bulls,118,Cleveland Cavaliers,106,Box Score,,"19,432",
179,8:00p,Oklahoma City Thunder,113,Minnesota Timberwolves,104,Box Score,,"16,236",
180,8:30p,Los Angeles Lakers,91,Philadelphia 76ers,108,Box Score,,"21,109",
181,3:30p,Houston Rockets,110,Denver Nuggets,117,Box Score,,"19,520",
182,4:00p,Toronto Raptors,110,San Antonio Spurs,106,Box Score,,"18,354",
183,6:00p,Washington Wizards,133,Atlanta Hawks,152,Box Score,,"15,567",
184,6:00p,Phoenix Suns,109,Memphis Grizzlies,114,Box Score,,"17,214",
185,6:00p,Boston Celtics,108,New Orleans Pelicans,123,Box Score,,"16,737",
186,6:00p,Brooklyn Nets,97,New York Knicks,110,Box Score,,"17,831",
187,6:00p,Los Angeles Clippers,112,Orlando Magic,97,Box Score,,"15,427",
188,9:00p,Indiana Pacers,129,Portland Trail Blazers,139,Box Score,,"19,663",
189,7:00p,Cleveland Cavaliers,115,Detroit Pistons,100,Box Score,,"12,597",
190,7:30p,Orlando Magic,92,Miami Heat,113,Box Score,,"19,600",
191,8:00p,San Antonio Spurs,109,Chicago Bulls,110,Box Score,,"16,071",
192,8:00p,Sacramento Kings,133,Minnesota Timberwolves,129,Box Score,OT,"13,449",
193,8:00p,Dallas Mavericks,107,Oklahoma City Thunder,97,Box Score,,"18,203",
194,9:00p,Houston Rockets,126,Utah Jazz,117,Box Score,,"18,306",
195,7:00p,New York Knicks,92,Charlotte Hornets,97,Box Score,,"14,342",
196,7:00p,Golden State Warriors,104,Philadelphia 76ers,115,Box Score,,"20,854",
197,7:30p,New Orleans Pelicans,125,Cleveland Cavaliers,111,Box Score,,"19,432",
