,Visitor/Neutral,PTS,Home/Neutral,PTS.1
365,Dallas Mavericks,109.0,San Antonio Spurs,103.0
366,Los Angeles Clippers,102.0,Phoenix Suns,92.0
367,Boston Celtics,114.0,Utah Jazz,103.0
368,New York Knicks,106.0,Philadelphia 76ers,115.0
369,Portland Trail Blazers,100.0,Indiana Pacers,106.0
370,Sacramento Kings,108.0,Oklahoma City Thunder,112.0
371,Los Angeles Lakers,116.0,Golden State Warriors,86.0
372,Minnesota Timberwolves,125.0,Orlando Magic,136.0
373,Brooklyn Nets,118.0,Atlanta Hawks,141.0
374,Charlotte Hornets,99.0,Toronto Raptors,96.0
375,Sacramento Kings,104.0,Memphis Grizzlies,101.0
376,Dallas Mavericks,118.0,Miami Heat,126.0
377,Oklahoma City Thunder,86.0,Milwaukee Bucks,133.0
378,Cleveland Cavaliers,104.0,New Orleans Pelicans,116.0
379,Detroit Pistons,113.0,Phoenix Suns,111.0
380,Washington Wizards,119.0,Utah Jazz,129.0
381,Denver Nuggets,103.0,Los Angeles Clippers,132.0
382,Chicago Bulls,115.0,New York Knicks,125.0
383,Portland Trail Blazers,117.0,Atlanta Hawks,129.0
384,Brooklyn Nets,113.0,Miami Heat,116.0
385,Indiana Pacers,113.0,Cleveland Cavaliers,104.0
386,Los Angeles Lakers,88.0,Memphis Grizzlies,105.0
387,Houston Rockets,111.0,Boston Celtics,110.0
388,Orlando Magic,113.0,San Antonio Spurs,114.0
389,Golden State Warriors,115.0,Phoenix Suns,99.0
390,Milwaukee Bucks,93.0,Charlotte Hornets,85.0
391,Philadelphia 76ers,130.0,Los Angeles Clippers,136.0
392,Dallas Mavericks,111.0,Minnesota Timberwolves,91.0
393,Toronto Raptors,118.0,Denver Nuggets,133.0
394,Detroit Pistons,100.0,Sacramento Kings,106.0
395,Los Angeles Lakers,122.0,New Orleans Pelicans,114.0
396,Washington Wizards,124.0,Golden State Warriors,110.0
397,Utah Jazz,126.0,Cleveland Cavaliers,113.0
398,Houston Rockets,123.0,New York Knicks,125.0
399,Portland Trail Blazers,130.0,Orlando Magic,107.0
400,Memphis Grizzlies,127.0,Atlanta Hawks,88.0
401,Milwaukee Bucks,89.0,Miami Heat,105.0
402,Dallas Mavericks,107.0,Chicago Bulls,109.0
403,Indiana Pacers,116.0,San Antonio Spurs,111.0
404,San Antonio Spurs,104.0,Charlotte Hornets,103.0
405,Brooklyn Nets,129.0,Boston Celtics,120.0
406,Minnesota Timberwolves,139.0,New Orleans Pelicans,134.0
407,Los Angeles Clippers,109.0,Oklahoma City Thunder,94.0
408,Golden State Warriors,116.0,Denver Nuggets,100.0
409,Toronto Raptors,123.0,Phoenix Suns,114.0
410,Philadelphia 76ers,107.0,Los Angeles Lakers,120.0
411,Washington Wizards,126.0,Sacramento Kings,133.0
412,Boston Celtics,112.0,Cleveland Cavaliers,106.0
413,Oklahoma City Thunder,114.0,Detroit Pistons,107.0
414,Indiana Pacers,100.0,Milwaukee Bucks,119.0
415,Memphis Grizzlies,118.0,Brooklyn Nets,79.0
416,Utah Jazz,112.0,New York Knicks,104.0
417,Orlando Magic,113.0,Miami Heat,116.0
418,Chicago Bulls,108.0,Minnesota Timberwolves,115.0
419,New Orleans Pelicans,123.0,Dallas Mavericks,127.0
420,Washington Wizards,104.0,Portland Trail Blazers,125.0
421,Denver Nuggets,114.0,Charlotte Hornets,112.0
422,Los Angeles Clippers,120.0,Houston Rockets,105.0
423,Philadelphia 76ers,125.0,Sacramento Kings,108.0
424,Toronto Raptors,121.0,Golden State Warriors,113.0
425,Atlanta Hawks,112.0,Washington Wizards,118.0
426,San Antonio Spurs,120.0,Brooklyn Nets,139.0
427,Oklahoma City Thunder,126.0,New York Knicks,103.0
428,Indiana Pacers,108.0,Chicago Bulls,102.0
429,Orlando Magic,132.0,Minnesota Timberwolves,118.0
430,Miami Heat,104.0,New Orleans Pelicans,110.0
431,Utah Jazz,99.0,Boston Celtics,94.0
432,Memphis Grizzlies,96.0,Dallas Mavericks,121.0
433,Portland Trail Blazers,117.0,Phoenix Suns,127.0
434,Milwaukee Bucks,103.0,Los Angeles Lakers,113.0
435,Houston Rockets,99.0,Charlotte Hornets,108.0
436,Utah Jazz,111.0,Detroit Pistons,105.0
437,Denver Nuggets,102.0,Cleveland Cavaliers,104.0
438,Atlanta Hawks,101.0,Memphis Grizzlies,118.0
439,Philadelphia 76ers,114.0,Golden State Warriors,118.0
440,Sacramento Kings,123.0,Portland Trail Blazers,111.0
441,Chicago Bulls,107.0,Brooklyn Nets,110.0
442,New Orleans Pelicans,120.0,Minnesota Timberwolves,107.0
443,Los Angeles Lakers,112.0,Los Angeles Clippers,103.0
444,Oklahoma City Thunder,105.0,Boston Celtics,104.0
445,Milwaukee Bucks,131.0,Phoenix Suns,140.0
446,Miami Heat,100.0,Washington Wizards,89.0
447,Indiana Pacers,112.0,Dallas Mavericks,109.0
448,Orlando Magic,126.0,Houston Rockets,106.0
449,Detroit Pistons,84.0,New York Knicks,96.0
450,San Antonio Spurs,129.0,Cleveland Cavaliers,132.0
451,Toronto Raptors,118.0,Sacramento Kings,113.0
452,Charlotte Hornets,138.0,Atlanta Hawks,143.0
453,Milwaukee Bucks,95.0,Denver Nuggets,109.0
454,Toronto Raptors,101.0,Utah Jazz,92.0
455,New York Knicks,115.0,Washington Wizards,122.0
456,Boston Celtics,114.0,Indiana Pacers,111.0
457,Minnesota Timberwolves,111.0,Houston Rockets,117.0
458,Dallas Mavericks,109.0,San Antonio Spurs,119.0
459,Orlando Magic,120.0,Memphis Grizzlies,115.0
460,Cleveland Cavaliers,103.0,Chicago Bulls,108.0
461,Phoenix Suns,105.0,Portland Trail Blazers,121.0
462,Brooklyn Nets,104.0,Los Angeles Lakers,102.0
463,Los Angeles Clippers,131.0,Golden State Warriors,107.0
464,Detroit Pistons,106.0,Philadelphia 76ers,124.0
465,New York Knicks,136.0,Atlanta Hawks,131.0
466,Charlotte Hornets,109.0,Miami Heat,98.0
467,Denver Nuggets,97.0,Dallas Mavericks,113.0
468,Utah Jazz,106.0,New Orleans Pelicans,104.0
469,Los Angeles Clippers,101.0,Los Angeles Lakers,103.0
470,Orlando Magic,128.0,Brooklyn Nets,118.0
471,Memphis Grizzlies,135.0,Portland Trail Blazers,140.0
472,Phoenix Suns,125.0,Washington Wizards,112.0
473,Boston Celtics,112.0,Milwaukee Bucks,119.0
474,Sacramento Kings,120.0,San Antonio Spurs,129.0
475,Houston Rockets,153.0,Dallas Mavericks,149.0
476,Miami Heat,125.0,Denver Nuggets,105.0
477,Utah Jazz,94.0,Oklahoma City Thunder,110.0
478,New Orleans Pelicans,103.0,Los Angeles Clippers,126.0
479,Philadelphia 76ers,121.0,Indiana Pacers,127.0
480,Los Angeles Lakers,92.0,Toronto Raptors,107.0
