,Visitor/Neutral,PTS,Home/Neutral,PTS.1
481,Washington Wizards,110.0,Brooklyn Nets,118.0
482,Portland Trail Blazers,124.0,Boston Celtics,128.0
483,San Antonio Spurs,108.0,Memphis Grizzlies,106.0
484,Sacramento Kings,116.0,Orlando Magic,132.0
485,Milwaukee Bucks,116.0,Houston Rockets,120.0
486,Dallas Mavericks,115.0,Phoenix Suns,117.0
487,Toronto Raptors,107.0,Miami Heat,103.0
488,Indiana Pacers,111.0,Washington Wizards,100.0
489,Denver Nuggets,121.0,Oklahoma City Thunder,113.0
490,Memphis Grizzlies,99.0,New Orleans Pelicans,109.0
491,San Antonio Spurs,130.0,Philadelphia 76ers,132.0
492,Los Angeles Lakers,116.0,Utah Jazz,108.0
493,Brooklyn Nets,119.0,Milwaukee Bucks,116.0
494,Dallas Mavericks,114.0,Sacramento Kings,110.0
495,Phoenix Suns,117.0,Los Angeles Clippers,115.0
496,Orlando Magic,109.0,Indiana Pacers,120.0
497,Boston Celtics,106.0,Miami Heat,112.0
498,Houston Rockets,102.0,Portland Trail Blazers,110.0
499,Memphis Grizzlies,115.0,Utah Jazz,124.0
500,Philadelphia 76ers,107.0,Washington Wizards,98.0
501,Denver Nuggets,132.0,San Antonio Spurs,126.0
502,Oklahoma City Thunder,105.0,Los Angeles Lakers,86.0
503,Toronto Raptors,109.0,Orlando Magic,99.0
504,Brooklyn Nets,115.0,Boston Celtics,149.0
505,New Orleans Pelicans,125.0,Sacramento Kings,140.0
506,Miami Heat,116.0,Milwaukee Bucks,130.0
507,Indiana Pacers,99.0,Phoenix Suns,114.0
508,Los Angeles Clippers,126.0,Dallas Mavericks,111.0
509,Portland Trail Blazers,125.0,Denver Nuggets,115.0
510,Los Angeles Lakers,97.0,Houston Rockets,113.0
511,Utah Jazz,111.0,San Antonio Spurs,119.0
512,Oklahoma City Thunder,92.0,Memphis Grizzlies,121.0
513,Sacramento Kings,106.0,Brooklyn Nets,119.0
514,Orlando Magic,101.0,Philadelphia 76ers,108.0
515,Washington Wizards,107.0,New Orleans Pelicans,118.0
516,Boston Celtics,122.0,Toronto Raptors,100.0
517,Los Angeles Clippers,122.0,Portland Trail Blazers,117.0
518,Utah Jazz,132.0,Denver Nuggets,134.0
519,Los Angeles Lakers,111.0,Indiana Pacers,116.0
520,Phoenix Suns,119.0,Miami Heat,112.0
521,Milwaukee Bucks,132.0,Dallas Mavericks,136.0
522,Washington Wizards,103.0,Oklahoma City Thunder,121.0
523,Memphis Grizzlies,99.0,Toronto Raptors,108.0
524,San Antonio Spurs,122.0,New Orleans Pelicans,113.0
525,Orlando Magic,119.0,Boston Celtics,122.0
526,Philadelphia 76ers,121.0,Portland Trail Blazers,124.0
527,Houston Rockets,129.0,Sacramento Kings,112.0
528,Brooklyn Nets,129.0,Los Angeles Clippers,120.0
529,Oklahoma City Thunder,101.0,Phoenix Suns,128.0
530,Dallas Mavericks,122.0,Utah Jazz,114.0
531,Toronto Raptors,114.0,Milwaukee Bucks,106.0
532,Indiana Pacers,92.0,Miami Heat,114.0
533,Denver Nuggets,121.0,Los Angeles Lakers,124.0
534,Brooklyn Nets,108.0,Orlando Magic,96.0
535,Houston Rockets,105.0,San Antonio Spurs,123.0
536,Phoenix Suns,130.0,Philadelphia 76ers,117.0
537,Boston Celtics,122.0,Memphis Grizzlies,107.0
538,Portland Trail Blazers,134.0,Dallas Mavericks,131.0
539,Milwaukee Bucks,126.0,Washington Wizards,113.0
540,New Orleans Pelicans,106.0,Sacramento Kings,112.0
541,Indiana Pacers,108.0,Houston Rockets,104.0
542,Toronto Raptors,125.0,Philadelphia 76ers,121.0
